eni_source_type,eni_source_subtype
pipedrive_notes,
recurroo,social
recurroo,sector
recurroo,biography
recurroo,asset_class
airtable_notes,
airtable_notes,investing_preferences
airtable_notes,intro_preferences
member_requests,responded
member_requests,requested
member_requests,suggested
whatsapp_messages,wine
whatsapp_messages,watches
whatsapp_messages,venture
whatsapp_messages,travel_ideas
whatsapp_messages,travel
whatsapp_messages,texas
whatsapp_messages,skiing_snowboarding
whatsapp_messages,recommended_reading
whatsapp_messages,real_estate
whatsapp_messages,puerto_rico
whatsapp_messages,philanthropy
whatsapp_messages,parenting
whatsapp_messages,nyc_tennis_padel
whatsapp_messages,nyc_poker
whatsapp_messages,nyc
whatsapp_messages,needs_leads
whatsapp_messages,market_reactions
whatsapp_messages,los_angeles
whatsapp_messages,job_board
whatsapp_messages,israel_support
whatsapp_messages,israel_regional
whatsapp_messages,home_vacation_swap
whatsapp_messages,health_hackers
whatsapp_messages,hamptons
whatsapp_messages,golf
whatsapp_messages,gadgets_devices_gizmos
whatsapp_messages,florida
whatsapp_messages,estate_tax_planning
whatsapp_messages,dc_dmv
whatsapp_messages,chicago
whatsapp_messages,caribbean_latam
whatsapp_messages,canada
whatsapp_messages,blockchain
whatsapp_messages,bikes_boats_planes_cars
whatsapp_messages,bay_area
whatsapp_messages,art_art_investing
whatsapp_messages,ai_ml
whatsapp_messages,_chat
whatsapp_messages,motorcycle_enthusiasts
whatsapp_messages,europe
whatsapp_messages,boston
whatsapp_messages,women_3i
airtable_affiliations,
airtable_deals_sourced,